filepath;artist;title;album;duration;status;yt_video_id;yt_url;yt_score;error_message
\\DESKTOP-U8AN9SJ\Musique\DJ Shadow - Nobody Speak feat. Run The Jewels.mp3;DJ Shadow;DJ Shadow - Nobody Speak feat. Run The Jewels (Official Video);;232.344;low_confidence;FX0ol1zksD4;https://music.youtube.com/watch?v=FX0ol1zksD4;70;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Crunkcore\Brokencyde\The Broken\07 Lacuna....mp3;Brokencyde;Lacuna...;The Broken;222.42;low_confidence;g0ZOVPiPwQo;https://music.youtube.com/watch?v=g0ZOVPiPwQo;70;
\\DESKTOP-U8AN9SJ\Musique\DJ\Birdy nam nam\Shut Up.mp3;Birdy Nam Nam;Shut Up;Manual for successful rioting;277.9964400504098;failed;a7VQUOkc19w;https://music.youtube.com/watch?v=a7VQUOkc19w;70;'YTMusic' object has no attribute 'add_to_library'
\\DESKTOP-U8AN9SJ\Musique\Dub\Mahom\The skankin' cat (2014)\MAHOM - 5 - Earth feat. Art-X.mp3;Mahom;Earth feat. Art-X;The Skankin' Cat;187.70899072889088;failed;bHyDmUUakT8;https://music.youtube.com/watch?v=bHyDmUUakT8;70;LibraryMixin.edit_song_library_status() takes from 1 to 2 positional arguments but 3 were given
\\DESKTOP-U8AN9SJ\Musique\Dubstep\Snoop Dogg - Millionaire (Dubstep remix).mp3;Snoop Dogg;Millionaire (Dubstep remix);;307.771342601186;imported;dSC4FKlH5zY;https://music.youtube.com/watch?v=dSC4FKlH5zY;70;LibraryMixin.edit_song_library_status() takes from 1 to 2 positional arguments but 3 were given
\\DESKTOP-U8AN9SJ\Musique\Dubstep\Pendulum\Hold Your Colour\03 Plasticworld.m4a;Pendulum;Plasticworld ;Hold Your Colour;381.85215419501134;low_confidence;yWlsmAdFs54;https://music.youtube.com/watch?v=yWlsmAdFs54;70;
\\DESKTOP-U8AN9SJ\Musique\Electro\Hits Dancefloor 2010\100_hits_dancefloor_2010_-_cd5_-_03_-_chuckie_feat_lmfao_-_let_the_bass_kick_in_miami_bitch.mp3;Chuckie & LMFAO;Let The Bass Kick In Miami Bitch;Hits Dancefloor 2010;237.84489795918367;low_confidence;22kZpGmDdJU;https://music.youtube.com/watch?v=22kZpGmDdJU;70;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Electro\LMFAO\Sorry For Party Rocking\07. Take It To The Hole - ( Ft. Busta Rhymes ).mp3;LMFAO;Take It To The Hole;Sorry For Party Rocking;216.42948930768483;low_confidence;aaMrLiSZoRg;https://music.youtube.com/watch?v=aaMrLiSZoRg;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\50 Cent\Curtis\17. 50 Cent - Touch The Sky feat Tony Yayo.mp3;50 Cent;Touch the sky;Curtis;185.33435645563682;low_confidence;QQnhfARXb48;https://music.youtube.com/watch?v=QQnhfARXb48;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\50 Cent\Get Rich Or Die Tryin\13. You A Shooter - Mobb Deep.mp3;50 Cent;You A Shooter;Get rich or die tryin;185.75673469387755;low_confidence;kWmZtevzdSw;https://music.youtube.com/watch?v=kWmZtevzdSw;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\50 Cent\Get Rich Or Die Tryin\7. We Both Think Alike.mp3;50 Cent;We Both Think Alike;Get rich or die tryin;185.86122448979592;low_confidence;TNxwZCirtfk;https://music.youtube.com/watch?v=TNxwZCirtfk;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\50 Cent\The  Massacre\50 Cent - 07 - Candy Shop - Massacre.mp3;50 Cent;Candy Shop;The Massacre;209.24650327116493;low_confidence;RWuW6-OE4VY;https://music.youtube.com/watch?v=RWuW6-OE4VY;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\50 Cent\The  Massacre\50 Cent - 16 - My Toy Soldier - Massacre.mp3;50 Cent;My Toy Soldier;The Massacre;224.50051362171664;low_confidence;HQuek68S6XE;https://music.youtube.com/watch?v=HQuek68S6XE;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\50 Cent\The  Massacre\50 Cent - 20 - So Amazing - Massacre.mp3;50 Cent;So Amazing;The Massacre;196.65673274094328;low_confidence;9feQ635FkSM;https://music.youtube.com/watch?v=9feQ635FkSM;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\Chali 2na\Fish Outta Water (2011)\02-chali_2na-international_(feat._beenie_man).mp3;Chali 2na;International;Fish Outta Water;211.72244897959183;low_confidence;nIIw0QfLBWc;https://music.youtube.com/watch?v=nIIw0QfLBWc;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\Chali 2na\Fish Outta Water (2011)\04-chali_2na-lock_shit_down_(feat._talib_kweli).mp3;Chali 2na;Lock Shit Down;Fish Outta Water;222.32816326530613;low_confidence;uq5thkM5dyc;https://music.youtube.com/watch?v=uq5thkM5dyc;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\Chali 2na\Fish Outta Water (2011)\06-chali_2na-keep_goin_(feat._choklate).mp3;Chali 2na;Keep Goin';Fish Outta Water;229.0938775510204;low_confidence;#NOM?;https://music.youtube.com/watch?v=-OCy7UOgGOM;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\Gym Class Heroes\The Papercut Chronicles\Gym Class Heroes-Cupid's Chokehold (feat. Patrick Stump)-10.mp3;Gym Class Heroes;Cupid's Chokehold (feat. Patrick Stump);The Papercut Chronicles;243.8269387755102;low_confidence;L9kK9kSE7tg;https://music.youtube.com/watch?v=L9kK9kSE7tg;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\Ludacris\Best Of\08 - Ludacris - get higher.mp3;Ludacris;Ludacris - get higher;Best Of Ludacris;205.55067037534772;low_confidence;B0-nyUIhJR0;https://music.youtube.com/watch?v=B0-nyUIhJR0;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\Mobb Deep\1995 - The Infamous\16-mobb_deep-party_over-rec.mp3;Mobb Deep;Party Over;The Infamous;341.0285714285714;low_confidence;fM32-voapeo;https://music.youtube.com/watch?v=fM32-voapeo;70;
\\DESKTOP-U8AN9SJ\Musique\Rap\N.E.R.D\In Search Of... (Original)\in search of (original)-n.e.r.d.-11-am i high.mp3;N.E.R.D.;Am I High;In Search Of...;300.35591836734693;low_confidence;vCCzuDLcKqc;https://music.youtube.com/watch?v=vCCzuDLcKqc;70;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Rap\Outkast\Greatest Hits(2010)\15 - Git Up, Git Out.mp3;OutKast;Git Up, Git Out;Greatest Hits;446.1714285714286;low_confidence;mEp_o9tQjy8;https://music.youtube.com/watch?v=mEp_o9tQjy8;70;
